Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,0.047619,0.1,0.0550561,0.043713
5,7.5,8.69286,0.0285333,0.029259
10,10.8095,11.6643,0.0268052,0.0282001
15,14.5952,12.5214,0.0251623,0.0279573
20,12.8333,16.3929,0.0254454,0.02846
25,16.0714,15.9643,0.0266549,0.0273269
30,16.619,13.5929,0.0257579,0.0282709
35,17.1429,18.9929,0.0235236,0.0244012
40,17.4762,14.8571,0.0227855,0.0259124
45,21,19.3357,0.023191,0.026209
50,21.4762,19.4429,0.0229888,0.0246426
55,17.119,16.5286,0.0266275,0.0277894
60,18.1429,25.4214,0.0273161,0.0273762
65,27.0476,20.3857,0.0231254,0.0274571
70,27.0238,23.5,0.0209228,0.0241133
75,28.1429,27.6857,0.0212471,0.0234444
80,30.119,31.6643,0.0207722,0.0225252
85,25.3333,21.1071,0.023239,0.0267182
90,22.1429,24.7286,0.0235557,0.0248398
95,19.9286,19.7857,0.029133,0.0313475
100,21.5952,21.7929,0.027151,0.0301403
105,18.8333,19.4286,0.0260422,0.0279008
110,22.8333,22.7286,0.0267038,0.0285034
115,28.2619,28.5357,0.0232474,0.0248456
120,26.7619,24.4786,0.0251107,0.0294977
125,26.7143,26.3,0.0244517,0.0267118
130,28.8333,27.7571,0.0231796,0.0257549
135,33.0952,32.8571,0.0223446,0.0241025
140,32.6667,30.3214,0.0229905,0.0262893
145,35.4286,34.5071,0.0206127,0.0238298
150,33.7857,30.7214,0.021511,0.0250802

Training Complete!!! - > Elapsed Epochs: 150 Validation Set Accuracy: 31.1071 Validation Set MSE: 0.0252771
0,32.3095,32.6429,0.0237388,0.024146
5,37.7381,34.7786,0.0215494,0.022807
10,35.7024,32.6786,0.0240525,0.0245269
15,39.4643,35.9286,0.0217095,0.02248
20,33.0714,32.7429,0.0240076,0.0240366
25,38.9524,35.6929,0.0210253,0.0229315
30,33.1548,33.0571,0.0221525,0.0228349
35,40.25,39.0714,0.0206026,0.0217426
40,42.4524,43.2786,0.0199647,0.0200616
45,33.4524,32.7071,0.0226263,0.0227624
50,35.2738,35.1357,0.0228772,0.0245434
55,39.9405,38.9143,0.0203037,0.0222199
60,37.9048,37.0571,0.021534,0.0219546
65,40.4643,42.3714,0.0202214,0.0204914
70,42.9643,39.9643,0.0196034,0.0216625
75,40.0833,37.1286,0.0201549,0.021393
80,38.6429,36.3643,0.0206705,0.021925
85,42.9286,42.6857,0.0203729,0.0215705
90,36.8452,34.1857,0.0214008,0.0251219
95,41.9881,42.2286,0.0194085,0.0205909
100,43.381,43.1929,0.018869,0.0198842
105,41.619,40.8857,0.0189843,0.0204641
110,46.6667,42.9071,0.0180686,0.0198632
115,41.3333,41.75,0.0189045,0.0202055
120,38.4762,36.7214,0.0226309,0.0241869
125,48.119,45.3357,0.0188777,0.0209891
130,41.7857,41.0357,0.0215501,0.022572
135,41.25,39.4643,0.0202368,0.0225579
140,40.7143,40.7786,0.0199714,0.0219121
145,41.7262,41.5571,0.0193452,0.0212759
150,45.9643,44.1357,0.0183792,0.02046

Training Complete!!! - > Elapsed Epochs: 150 Validation Set Accuracy: 44.5929 Validation Set MSE: 0.0205057
0,45.9524,46.1429,0.0188891,0.0195971
5,43.1825,42.75,0.0203445,0.0216661
10,45.1587,40.7143,0.0202701,0.0211203
15,49.5476,50.8143,0.0196351,0.019477
20,55.0873,55.3571,0.0182492,0.0186066
25,50.0635,51.5429,0.0184654,0.0188956
30,54.1746,54.8571,0.0170271,0.0181435
35,47.0238,45.2429,0.0199925,0.0219345
40,50.1111,49.5929,0.0190064,0.0199786
45,49.5952,51.4571,0.0193754,0.0194782
50,50.6984,49.1286,0.0185239,0.0193989
55,52.0397,51.3857,0.0173605,0.0184372
60,46.2778,45.65,0.0186776,0.0198593
65,49.8254,49.6286,0.0185865,0.0202712
